YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M
2013,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,82132.0,9584.0,71735.0,14313.0,64045.0,117936.0,,,85393.0,7159.0,,,84814.0,16267.0,,,77675.0,25280.0,81424.0,16359.0
2013,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,95844.0,4757.0,97478.0,4184.0,68217.0,9339.0,,,39341.0,98516.0,,,119841.0,27571.0,135808.0,160418.0,96573.0,6475.0,118706.0,29629.0
2011,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,86071.0,16051.0,89158.0,26876.0,65842.0,89113.0,,,88017.0,14587.0,,,85562.0,51784.0,67767.0,34101.0,89588.0,29832.0,85295.0,30539.0
2011,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,97916.0,12725.0,95664.0,24517.0,69719.0,11574.0,,,89459.0,25339.0,,,120278.0,16555.0,140124.0,81571.0,97636.0,20852.0,107635.0,22279.0
2022,6037910215,Census Tract 9102.15,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,95428.0,17230.0,93002.0,49166.0,,,,,,,,,76911.0,13584.0,131458.0,103335.0,55100.0,32199.0,104638.0,24337.0
2022,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,86712.0,14395.0,81645.0,14083.0,,,,,106515.0,54264.0,,,84480.0,41786.0,126078.0,72502.0,73972.0,20239.0,84886.0,12838.0
2012,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,82056.0,16896.0,72623.0,14007.0,60659.0,28080.0,,,86994.0,5420.0,,,92429.0,43922.0,,,73975.0,25860.0,84839.0,27825.0
2012,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,96153.0,8087.0,96840.0,5935.0,68678.0,5491.0,,,81407.0,39549.0,,,118470.0,15694.0,135215.0,118410.0,95140.0,13744.0,109099.0,18057.0
2019,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,86822.0,23744.0,99023.0,10688.0,,,,,162898.0,122511.0,,,63216.0,26659.0,,,95945.0,42614.0,72958.0,48108.0
2019,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,96543.0,13909.0,94152.0,32474.0,,,,,104081.0,19781.0,,,87587.0,62530.0,103119.0,31964.0,98475.0,29872.0,86493.0,16715.0
2010,6037910208,Census Tract 9102.08,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,86231.0,8146.0,88822.0,20082.0,77192.0,91150.0,,,95676.0,54242.0,,,80305.0,44739.0,66316.0,30476.0,89489.0,21511.0,79347.0,36607.0
2010,6037910401,Census Tract 9104.01,Desert View Highlands,Los Angeles County,California,DesertViewHighlands,98346.0,9597.0,87418.0,22639.0,72055.0,28724.0,,,92258.0,24152.0,,,122969.0,13153.0,39865.0,157955.0,95921.0,18615.0,107793.0,28026.0
