YEAR,GEO_ID,TRACT,CITY,COUNTY,STATE,ABBREV_NAME,B19013_001E,B19013_001M,B19013A_001E,B19013A_001M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19013_001E_string,B19013_001M_string,B19013A_001E_string,B19013A_001M_string,B19013B_001E_string,B19013B_001M_string,B19013C_001E_string,B19013C_001M_string,B19013D_001E_string,B19013D_001M_string,B19013E_001E_string,B19013E_001M_string,B19013F_001E_string,B19013F_001M_string,B19013G_001E_string,B19013G_001M_string,B19013H_001E_string,B19013H_001M_string,B19013I_001E_string,B19013I_001M_string,dummy
2013,6037261101,Census Tract 2611.01,Beverly Hills,Los Angeles County,California,BeverlyHills,196542.0,30100.0,198976.0,50202.0,22990.0,47180.0,,,264390.0,269248.0,,,,,51206.0,63795.0,198976.0,50202.0,,,$196542,$30100,$198976,$50202,$22990,$47180,Not available,Not available,$264390,$269248,Not available,Not available,Not available,Not available,$51206,$63795,$198976,$50202,Not available,Not available,1
2013,6037261102,Census Tract 2611.02,Beverly Hills,Los Angeles County,California,BeverlyHills,214176.0,45898.0,199449.0,40441.0,,,,,325881.0,262378.0,,,,,328436.0,,213738.0,47379.0,132718.0,84131.0,$214176,$45898,$199449,$40441,Not available,Not available,Not available,Not available,$325881,$262378,Not available,Not available,Not available,Not available,$328436,Not available,$213738,$47379,$132718,$84131,1
2013,6037265100,Census Tract 2651,Beverly Hills,Los Angeles County,California,BeverlyHills,133275.0,24555.0,134476.0,29897.0,,,,,131457.0,102459.0,,,,,,,134476.0,29897.0,,,$133275,$24555,$134476,$29897,Not available,Not available,Not available,Not available,$131457,$102459,Not available,Not available,Not available,Not available,Not available,Not available,$134476,$29897,Not available,Not available,1
2013,6037269000,Census Tract 2690,Beverly Hills,Los Angeles County,California,BeverlyHills,152394.0,27085.0,161016.0,48587.0,,,,,102241.0,54395.0,,,,,280093.0,274287.0,181782.0,55785.0,32570.0,103311.0,$152394,$27085,$161016,$48587,Not available,Not available,Not available,Not available,$102241,$54395,Not available,Not available,Not available,Not available,$280093,$274287,$181782,$55785,$32570,$103311,1
2013,6037700501,Census Tract 7005.01,Beverly Hills,Los Angeles County,California,BeverlyHills,79689.0,17784.0,76943.0,14891.0,142264.0,173965.0,,,69214.0,34596.0,,,107562.0,19680.0,111912.0,163779.0,77833.0,19192.0,106184.0,10160.0,$79689,$17784,$76943,$14891,$142264,$173965,Not available,Not available,$69214,$34596,Not available,Not available,$107562,$19680,$111912,$163779,$77833,$19192,$106184,$10160,1
2013,6037700600,Census Tract 7006,Beverly Hills,Los Angeles County,California,BeverlyHills,272053.0,96895.0,291916.0,104173.0,,,,,32570.0,35522.0,,,,,,,291759.0,101953.0,,,$272053,$96895,$291916,$104173,Not available,Not available,Not available,Not available,$32570,$35522,Not available,Not available,Not available,Not available,Not available,Not available,$291759,$101953,Not available,Not available,1
2013,6037700700,Census Tract 7007,Beverly Hills,Los Angeles County,California,BeverlyHills,226004.0,28579.0,225183.0,48612.0,,,,,,,,,,,,,227838.0,60586.0,,,$226004,$28579,$225183,$48612,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,$227838,$60586,Not available,Not available,1
2013,6037700801,Census Tract 7008.01,Beverly Hills,Los Angeles County,California,BeverlyHills,81288.0,25187.0,98557.0,37360.0,22138.0,68639.0,,,71109.0,8429.0,,,,,60892.0,127790.0,99069.0,34391.0,12316.0,207252.0,$81288,$25187,$98557,$37360,$22138,$68639,Not available,Not available,$71109,$8429,Not available,Not available,Not available,Not available,$60892,$127790,$99069,$34391,$12316,$207252,1
2013,6037700802,Census Tract 7008.02,Beverly Hills,Los Angeles County,California,BeverlyHills,87973.0,16288.0,78619.0,23220.0,,,,,96247.0,21911.0,,,,,,,81744.0,22433.0,44521.0,198467.0,$87973,$16288,$78619,$23220,Not available,Not available,Not available,Not available,$96247,$21911,Not available,Not available,Not available,Not available,Not available,Not available,$81744,$22433,$44521,$198467,1
2013,6037700901,Census Tract 7009.01,Beverly Hills,Los Angeles County,California,BeverlyHills,106119.0,23629.0,90476.0,18818.0,88534.0,216504.0,,,113493.0,24780.0,,,,,109710.0,32281.0,90359.0,18336.0,151956.0,69266.0,$106119,$23629,$90476,$18818,$88534,$216504,Not available,Not available,$113493,$24780,Not available,Not available,Not available,Not available,$109710,$32281,$90359,$18336,$151956,$69266,1
2013,6037700902,Census Tract 7009.02,Beverly Hills,Los Angeles County,California,BeverlyHills,89093.0,10887.0,92746.0,11749.0,102008.0,104117.0,,,70906.0,19864.0,,,,,81244.0,40581.0,96594.0,11871.0,64147.0,19144.0,$89093,$10887,$92746,$11749,$102008,$104117,Not available,Not available,$70906,$19864,Not available,Not available,Not available,Not available,$81244,$40581,$96594,$11871,$64147,$19144,1
2013,6037701000,Census Tract 7010,Beverly Hills,Los Angeles County,California,BeverlyHills,136574.0,13030.0,139932.0,8407.0,148680.0,90949.0,,,161840.0,59377.0,,,3283.0,,85338.0,92925.0,139330.0,13426.0,133596.0,180604.0,$136574,$13030,$139932,$8407,$148680,$90949,Not available,Not available,$161840,$59377,Not available,Not available,$3283,Not available,$85338,$92925,$139330,$13426,$133596,$180604,1
2011,6037261101,Census Tract 2611.01,Beverly Hills,Los Angeles County,California,BeverlyHills,276913.0,48917.0,279324.0,50345.0,340381.0,,,,104667.0,451999.0,,,19895.0,351828.0,,,279324.0,50345.0,20306.0,728532.0,$276913,$48917,$279324,$50345,$340381,Not available,Not available,Not available,$104667,$451999,Not available,Not available,$19895,$351828,Not available,Not available,$279324,$50345,$20306,$728532,1
